Designator,Footprint,Quantity,Value,LCSC Part #
100NF1,0603,1,100nF,C2830721
"100NF10, 100NF11, 100NF12, 100NF2, 100NF3, 100NF4, 100NF5, 100NF6, 100NF7, 100NF8, 100NF9",0603,11,100nF,
"22PF1, 22PF2",0603,2,22pF,C376875
"C1, C2",0603,2,10uF,
C3,0805,1,100uF,
C4,0603,1,22uF,
"D1, D10, D2, D3, D4, D5, D6, D7, D8, D9",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,10,WS2812B,
"FTDI-HEADER1, J5",PinHeader_1x06_P2.54mm_Vertical,2,Conn_01x06_Pin,
ICSP1,PinHeader_2x03_P2.54mm_Vertical,1,Conn_02x03_Odd_Even,
"J1, J2",PinHeader_1x05_P2.54mm_Vertical,2,Conn_01x05_Pin,
J3,PinSocket_1x02_P2.00mm_Vertical,1,Battery_Conn,
J4,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
J6,CUI_UJC-HP-3-SMT-TR,1,UJC-HP-3-SMT-TR,
JP1,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,1,Jumper_2_Bridged,
JP2,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,Jumper_2_Open,
L1,L_Bourns-SRN4018,1,6.8uH,
"R1, R2",0603,2,5.1k,
R10,0603,1,2.2M,
R10K1,0805,1,10Kohm,
R11,0603,1,390K,
R12,0603,1,1.8M,
"R13, R9",0603,2,200K,
R3,0603,1,1M,
R4,0603,1,590,
R5,0603,1,1.1k,
R6,0603,1,1k,
R7,0603,1,100k,
R8,0603,1,10k,
SW2,SW_Slide_1P2T_CK_OS102011MS2Q,1,SW_SPDT,
U1,TQFP-32_7x7mm_P0.8mm,1,ATmega328P-A,C132230
U2,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,1,BQ24075RGT,
U3,CONV_TPS61092RSAR,1,TPS61092RSAR,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,1,Crystal_GND24,C1985977
