Designator,Mid X,Mid Y,Rotation,Layer
100NF1,201.3,-69.95,135.0,top
100NF10,146.0,-87.05,0.0,top
100NF11,135.75,-87.299998,0.0,top
100NF12,125.5375,-87.3,0.0,top
100NF2,206.4,-70.2,90.0,top
100NF3,216.000001,-87.0,0.0,top
100NF4,205.999999,-87.249998,0.0,top
100NF5,195.75,-87.5,0.0,top
100NF6,185.5,-87.5,0.0,top
100NF7,176.000002,-87.500001,0.0,top
100NF8,166.0,-87.050001,0.0,top
100NF9,155.500002,-87.05,0.0,top
22PF1,190.2,-83.0,135.0,top
22PF2,183.0,-75.4,180.0,top
C1,166.775,-80.85,0.0,top
C2,168.95,-64.8,180.0,top
C3,174.699999,-72.3,270.0,top
C4,157.275,-83.05,315.0,top
D1,213.85,-93.75,270.0,top
D10,123.85,-93.75,270.0,top
D2,203.85,-93.75,270.0,top
D3,193.85,-93.75,270.0,top
D4,183.85,-93.75,270.0,top
D5,174.25,-93.75,270.0,top
D6,164.199999,-93.750001,270.0,top
D7,153.85,-93.75,270.0,top
D8,143.85,-93.75,270.0,top
D9,133.85,-93.75,270.0,top
FTDI-HEADER1,211.59,-65.4,270.0,top
ICSP1,230.385,-66.065,90.0,top
J1,230.915,-75.0,90.0,top
J2,212.5,-82.9,90.0,top
J3,130.9,-80.45,180.0,top
J4,187.4,-65.5,270.0,top
J5,211.33,-78.0,90.0,top
J6,124.0,-67.35,180.0,top
L1,176.5,-67.05,270.0,top
R1,126.25,-71.575,270.0,top
R10,165.2,-66.599998,270.0,top
R10K1,211.7,-69.9,0.0,top
R11,164.55,-71.2,270.0,top
R12,170.3,-73.95,270.0,top
R13,167.9,-73.999998,90.0,top
R2,124.0,-71.6,270.0,top
R3,121.7,-71.575,90.0,top
R4,153.125,-82.75,180.0,top
R5,153.125,-80.45,180.0,top
R6,155.8,-77.8,0.0,top
R7,166.0,-78.7,0.0,top
R8,163.825,-83.15,0.0,top
R9,169.25,-76.6,180.0,top
SW2,138.25,-68.3525,0.0,top
U1,193.8,-74.4,315.0,top
U2,159.9,-80.1,135.0,top
U3,169.45,-69.099998,180.0,top
Y1,183.683623,-80.25,0.0,top
